Code,Title,Qualification,Qualification State Code,Unit1,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8
ADVPROG,Advanced Programming,ICT50220,AC21,ICTPRG535,ICTPRG547,,,,,,
INTERIOT,Intermediate IoT,ICT50220,AC21,ICTPRG537,ICTIOT502,ICTIOT503,,,,,
INTROPROG,Introduction to Programming,ICT40120,AC07,ICTPRG302,,,,,,,
IP4RIoT,Introduction to Programming for IoT,ICT40120,AC07,ICTPRG430,ICTICT449,,,,,,
IPOS,Intermediate Programming and Open Source,ICT50220,AC21,ICTPRG429,"ICTPRG443	",ICTPRG439,,,,,
MOBDEV,Introduction to Mobile Development,ICT50220,AC21,,,,,,,,
SAAS-FED,Software as a Service - Front End Development,ICT50220,AC21,ICTDBS507,ICTPRG556,,,,,,
ADVMOB,Advanced Mobile Development,ICT50220,AC21,ICTPRG603,ICTPRG549,,,,,,
SAAS-BED,Software as a Service - Back End Development,ICT50220,AC21,ICTPRG553,ICTPRG554,,,,,,
WORKSHOP,Please sign in and out each time you arrive and depart the workshop,,,,,,,,,,
CYBAWD,Cyber Awareness ,ICT50220,AC21,BSBXCS402,,,,,,,
BIGDAT,Big Data,ICT50220,AC21,ICTDAT503,ICTDAT501,BSBDAT501,ICTDAT503,,,,
INNOPRJ1,Innovation Project (Part 1),ICT50220,AC21,BSBCRT512,ICTICT517,,,,,,
INNOPRJ2,Innovation Project (Part 2),ICT50220,AC21,BSBXTW401,ICTSAS527,,,,,,
IPETHPD,"IP, Ethics & Privacy ",ICT50220,AC21,ICTICT532,,,,,,,
PROGC,Programming in another language (C#),ICT40120,AC07,ICTPRG440,ICTPRG433,,,,,,
CYBSECR,Cyber Security Risk Management,ICT40120,AC07,BSBXCS404,,,,,,,
ICTPROB,IT Support (Software),ICT40120,AC07,ICTSAS432,,,,,,,
COMPIP,"Comply with IP, ethics and privacy policies in ICT environments",ICT40120,AC07,ICTICT451 ,,,,,,,
INNOPRO0,Innovation Project,ICT40120,AC07,BSBCRT404,ICTICT443,ICTICT426,,,,,
APPYTHON,Applied Python Programming,ICT40120,AC07,ICTPRG429,"ICTPRG443	",ICTPRG439,,,,,
MOBDEV,Mobile Development (C#/Xamarin),ICT40120,AC07,ICTPRG437,ICTPRG436,,,,,,
WEBTECHP,"Web Technologies (HTML, CSS and JS)",ICT40120,AC07,ICTWEB441,ICTWEB452,,,,,,
